Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,158.9,-44.9,180.0,top
C10,22pF,C_0402_1005Metric,147.4,-50.0,180.0,top
C11,1uF,C_0402_1005Metric,155.3,-50.7,90.0,top
C12,22pF,C_0402_1005Metric,158.9,-51.96,180.0,top
C13,22pF,C_0402_1005Metric,158.9,-49.42,180.0,top
C14,22pF,C_0402_1005Metric,158.8925,-54.5,180.0,top
C15,22pF,C_0402_1005Metric,158.9,-42.4,180.0,top
C16,100nF,C_0402_1005Metric,149.9,-50.1,180.0,top
C17,100nF,C_0402_1005Metric,149.9,-49.1,180.0,top
C2,1uF,C_0402_1005Metric,147.4,-41.8,180.0,top
C3,1uF,C_0402_1005Metric,147.4,-44.34,180.0,top
C4,1uF,C_0402_1005Metric,155.8,-46.0,0.0,top
C5,1uF,C_0402_1005Metric,156.9925,-47.0,180.0,top
C6,1uF,C_0402_1005Metric,157.4,-48.5,-90.0,top
C7,1uF,C_0402_1005Metric,147.4,-49.02,180.0,top
C8,1uF,C_0402_1005Metric,147.4,-46.47,180.0,top
C9,22pF,C_0402_1005Metric,147.4,-47.5,180.0,top
IC1,ES8311,QFN40P300X300X60-21N,153.2,-48.15,0.0,top
J1,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,153.55,-36.8,-90.0,top
J2,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,152.85,-59.6,90.0,top
J3,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,162.09,-48.15,0.0,top
J4,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,144.31,-48.15,0.0,top
R1,10K,R_0402_1005Metric,150.5,-45.9,0.0,top
R2,2.2K,R_0402_1005Metric,158.9,-43.9,0.0,top
R3,0R,R_0402_1005Metric,156.3,-51.11,-90.0,top
R4,2.2K,R_0402_1005Metric,158.9,-41.4,0.0,top
R5,0R,R_0402_1005Metric,149.9,-51.1,0.0,top
R6,0R,R_0402_1005Metric,147.4,-54.5,180.0,top
